,experience_id,experience_name,similar_experience
10,16562.0,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,"Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Wieliczka Salt Mine: Half-Day Trip from Krakow,,Admission Tickets to Wieliczka Salt Mine with Expert Guide,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Skip the Line Guided Tour of Wieliczka Salt Mine,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour"
11,14485.0,Schindler's Factory Tickets: Skip The Line,"Skip the Line Guided Tour of Wieliczka Salt Mine,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Admission Tickets to Wieliczka Salt Mine with Expert Guide,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Auschwitz-Birkenau: Fast-Track Tickets,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour"
12,15406.0,Auschwitz-Birkenau: Fast-Track Tickets,"From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Fast-Track Tickets to the Energylandia,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,Schindler's Factory Tickets: Skip The Line,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Krakow in 3 hours - Guided City Tour in an Electric Car"
13,10430.0,Wieliczka Salt Mine: Half-Day Trip from Krakow,"Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch"
14,15460.0,Krakow-Plaszow Concentration Camp Tour,"Oskar Schindler's Story & Walking Tour,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide,,Creepy Krakow: 2-Hour City Walking Tour"
15,14157.0,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,"Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Wieliczka Salt Mine: Half-Day Trip from Krakow,,Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Admission Tickets to Wieliczka Salt Mine with Expert Guide,,Skip the Line Guided Tour of Wieliczka Salt Mine,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Skip the Line English Guided Tour of Wawel Castle,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup"
16,14415.0,Energylandia Amusement Park Ticket with Transfers,"Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Krakow Airport: Private Transfer Tickets,,Fast-Track Tickets to the Energylandia,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Krakow Balice Airport Transfers - To/From the City Center,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,Krakow: Extreme Shooting Range with Hotel Transfer,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour"
17,10427.0,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,"Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,Krakow: Rynek Underground Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Creepy Krakow: 2-Hour City Walking Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise"
18,14533.0,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide,"Wawel Castle & Cathedral Guided Tour,,Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,Krakow-Plaszow Concentration Camp Tour,,Skip the Line English Guided Tour of Wawel Castle,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Creepy Krakow: 2-Hour City Walking Tour,,Oskar Schindler's Story & Walking Tour,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch"
19,14296.0,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,"Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Krakow: Schindler's Factory and Former Ghetto Guided Tour,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry"
20,15715.0,Krakow Airport: Private Transfer Tickets,"Krakow Balice Airport Transfers - To/From the City Center,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Energylandia Amusement Park Ticket with Transfers,,Krakow: Extreme Shooting Range with Hotel Transfer,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
21,16560.0,Short Cruise on the Vistula and a Guided Walk in the Former Jewish Ghetto in Krakow,"Krakow: Jewish Quarter Kazimierz Walking Tour,,Krakow: River Cruise with Audio Guide & Płaszów Concentration Camp Guided Tour,,Krakow: Kazimierz Quarter and Former Jewish Ghetto  Sightseeing by Golf Cart: Guided Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour"
22,13826.0,Guided Tour of Schindler's Factory and Plaszow Concentration Camp,"Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Krakow: Schindler's Factory and Former Ghetto Guided Tour,,Oskar Schindler's Story & Walking Tour,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch"
23,16467.0,Krakow: Jewish Quarter Kazimierz Walking Tour,"Short Cruise on the Vistula and a Guided Walk in the Former Jewish Ghetto in Krakow,,Krakow: River Cruise with Audio Guide & Płaszów Concentration Camp Guided Tour,,Krakow: Kazimierz Quarter and Former Jewish Ghetto  Sightseeing by Golf Cart: Guided Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour"
24,16088.0,"Krakow: Old Town by Golf Cart, Wawel and Underground Museum: Guided Tour","Krakow: Kazimierz by Golf Cart + Schindler's Factory Museum Tour,,Krakow: Old Town Sightseeing by Golf Cart and Wawel Castle Guided Tour,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Skip the Line English Guided Tour of Wawel Castle"
25,14185.0,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,"Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,Krakow: Rynek Underground Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Creepy Krakow: 2-Hour City Walking Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise"
26,15682.0,1-Hour Evening Vistula River Cruise,"Krakow Sightseeing on a Private Gondola Cruise,,Panoramic Sightseeing Cruise on the Vistula River - 1 Hour,,Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise,,Krakow: Sightseeing Cruise on the Vistula River by Catamaran,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine"
27,14298.0,Krakow: Shooting + Quad Bike Riding + BBQ Meal,"Krakow Card: Museums and Attractions without Transport (3 Days),,Krakow: Old Town Sightseeing by Golf Cart and Wawel Castle Guided Tour,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Krakow: Old Town by Golf Cart, Wawel and Underground Museum: Guided Tour,,Krakow: Kazimierz by Golf Cart + Schindler's Factory Museum Tour,,Krakow: Extreme Shooting Range with Hotel Transfer,,Krakow Card - Museums and Attractions Pass,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Krakow in 3 hours - Guided City Tour in an Electric Car"
28,13829.0,"Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch","Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Skip the Line English Guided Tour of Wawel Castle,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
29,15911.0,1 Day Hop On Hop Off Tour,"City Sightseeing: 1 Day Hop On Hop Off Krakow Tour,,Krakow Guided Tour by E-Scooter with Food Tasting,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,Creepy Krakow: 2-Hour City Walking Tour,,Krakow: Rynek Underground Museum Guided Tour,,Krakow: Extreme Shooting Range with Hotel Transfer,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch"
30,15764.0,Skip the Line English Guided Tour of Wawel Castle,"Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Wawel Castle & Cathedral Guided Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
31,13830.0,Wawel Castle & Cathedral Guided Tour,"Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Skip the Line English Guided Tour of Wawel Castle,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
32,13816.0,Creepy Krakow: 2-Hour City Walking Tour,"City Sightseeing: 1 Day Hop On Hop Off Krakow Tour,,Krakow-Plaszow Concentration Camp Tour,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Krakow: Rynek Underground Museum Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,1 Day Hop On Hop Off Tour,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,Oskar Schindler's Story & Walking Tour,,Wawel Hill & Wawel Castle: Surroundings Tour with Audio Guide"
33,15461.0,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,"Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Krakow: Schindler's Factory and Former Ghetto Guided Tour,,Oskar Schindler's Story & Walking Tour,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch"
34,16900.0,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,"Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch"
35,14297.0,Krakow: Extreme Shooting Range with Hotel Transfer,"Krakow: Shooting + Quad Bike Riding + BBQ Meal,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Krakow Airport: Private Transfer Tickets,,Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Energylandia Amusement Park Ticket with Transfers,,Krakow Balice Airport Transfers - To/From the City Center,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch"
36,16884.0,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,"Auschwitz-Birkenau Memorial: Self-Guided Tour with Transfers,,Zakopane Tour with Hot Bath Pools & Hotel Transfers,,From Krakow: Auschwitz-Birkenau Guided Tour with Hotel Pickup,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Skip the Line English Guided Tour of Wawel Castle"
37,16894.0,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,"Super Saver Tour - Auschwitz-Birkenau & Wieliczka Salt Mine From Krakow,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Krakow: Old Town by Golf Cart, Wawel Castle and Salt Mine Wieliczka : Guided Tour,,Small-Group Wieliczka Salt Mine Tour with Hotel Pickup,,Krakow: Vistula River Cruise and Wieliczka Salt Mine Group Tour,,From Krakow: Wieliczka Salt Mine Guided Tour with Hotel Transfers,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch"
38,13827.0,"Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine","Guided Tour of Schindler's Factory and Plaszow Concentration Camp,,Skip the Line Guided Tour of Oskar Schindler’s Factory,,Guided Tour of Oskar Schindler's Factory, Jewish Quarter Kazimierz & Krakow Ghetto,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Krakow: Schindler's Factory and Former Ghetto Guided Tour,,Oskar Schindler's Story & Walking Tour,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Small-Group Guided Auschwitz Birknenau Tour with Hotel Transfers,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch"
39,16528.0,"Krakow: Guided Wawel Tour, Lunch, and Vistula River Cruise","Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch,,Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,Skip the Line English Guided Tour of Wawel Castle,,Short Cruise on the Vistula and Schindler's Factory Museum Guided Tour,,Wawel Castle & Cathedral Guided Tour"
40,15458.0,"Wawel Castle, Cathedral and Rynek Underground Museum: Guided Tour with Lunch","Wawel Castle, Cathedral and Wieliczka Salt Mine Guided Tour with Lunch,,Wawel Castle & Cathedral Guided Tour,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Guided Tour of Oskar Schindler's Factory, Krakow Ghetto & Wieliczka Salt Mine,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Krakow in 3 hours - Guided City Tour in an Electric Car,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Skip the Line English Guided Tour of Wawel Castle"
41,13801.0,Krakow in 3 hours - Guided City Tour in an Electric Car,"Krakow: Rynek Underground Museum Guided Tour,,Auschwitz - Birkenau: Full Day Guided Tour from Krakow,,From Krakow: Auschwitz-Birkenau Tour with Fast-Track Entry,,Jewish Quarter Kazimierz & Schindler's Factory Guided Tour,,Wawel Castle & Cathedral Guided Tour,,Auschwitz-Birkenau Guided Tour with Transfers & Lunch,,Auschwitz-Birkenau and Wieliczka Salt Mine Full-Day Tour with Transfers & Lunch,,Guided Tour of Wieliczka Salt Mine with Round-Trip Transfers and Lunch,,Creepy Krakow: 2-Hour City Walking Tour"
